ISO 8601 Time,Temperature (C)
time,temp
2019-07-10T08:57:50.000,32.2714
2019-07-10T08:59:50.000,33.0009
2019-07-10T09:01:50.000,33.5616
2019-07-10T09:03:50.000,34.0017
2019-07-10T09:05:50.000,34.4275
2019-07-10T09:07:50.000,34.7821
2019-07-10T09:09:50.000,34.5501
2019-07-10T09:11:50.000,33.8420
2019-07-10T09:13:50.000,33.5888
2019-07-10T09:15:50.000,34.1098
2019-07-10T09:17:50.000,34.4857
2019-07-10T09:19:50.000,34.6837
2019-07-10T09:21:50.000,34.8976
2019-07-10T09:23:50.000,34.8529
2019-07-10T09:25:50.000,35.2266
2019-07-10T09:27:50.000,35.6367
2019-07-10T09:29:50.000,35.5821
2019-07-10T09:31:50.000,35.3522
2019-07-10T09:33:50.000,34.0991
2019-07-10T09:35:50.000,32.9258
2019-07-10T09:37:50.000,32.3056
2019-07-10T09:39:50.000,31.9432
2019-07-10T09:41:50.000,32.2863
2019-07-10T09:43:50.000,32.5890
2019-07-10T09:45:50.000,32.9904
2019-07-10T09:47:50.000,33.6328
2019-07-10T09:49:50.000,33.8952
2019-07-10T09:51:50.000,33.4920
2019-07-10T09:53:50.000,31.1040
2019-07-10T09:55:50.000,28.8607
2019-07-10T09:57:50.000,27.3752
2019-07-10T09:59:50.000,26.4641
2019-07-10T10:01:50.000,25.9213
2019-07-10T10:03:50.000,25.6178
2019-07-10T10:05:50.000,25.4488
2019-07-10T10:07:50.000,25.3414
2019-07-10T10:09:50.000,25.2814
2019-07-10T10:11:50.000,25.2494
2019-07-10T10:13:50.000,25.2452
2019-07-10T10:15:50.000,25.2508
2019-07-10T10:17:50.000,25.2591
2019-07-10T10:19:50.000,25.2619
2019-07-10T10:21:50.000,25.2675
2019-07-10T10:23:50.000,25.2800
2019-07-10T10:25:50.000,25.2898
2019-07-10T10:27:50.000,25.3051
2019-07-10T10:29:50.000,25.3233
2019-07-10T10:31:50.000,25.3414
2019-07-10T10:33:50.000,25.3679
2019-07-10T10:35:50.000,25.3902
2019-07-10T10:37:50.000,25.4056
2019-07-10T10:39:50.000,25.4112
2019-07-10T10:41:50.000,25.4125
2019-07-10T10:43:50.000,25.4251
2019-07-10T10:45:50.000,25.4433
2019-07-10T10:47:50.000,25.4670
2019-07-10T10:49:50.000,25.4907
2019-07-10T10:51:50.000,25.5089
2019-07-10T10:53:50.000,25.5242
2019-07-10T10:55:50.000,25.5354
2019-07-10T10:57:50.000,25.5563
2019-07-10T10:59:50.000,25.5745
2019-07-10T11:01:50.000,25.5815
2019-07-10T11:03:50.000,25.5801
2019-07-10T11:05:50.000,25.5857
2019-07-10T11:07:50.000,25.5955
2019-07-10T11:09:50.000,25.6192
2019-07-10T11:11:50.000,25.6360
2019-07-10T11:13:50.000,25.6541
2019-07-10T11:15:50.000,25.6863
2019-07-10T11:17:50.000,25.6975
2019-07-10T11:19:50.000,25.7240
2019-07-10T11:21:50.000,25.7646
2019-07-10T11:23:50.000,25.8024
2019-07-10T11:25:50.000,25.8415
2019-07-10T11:27:50.000,25.8863
2019-07-10T11:29:50.000,25.9297
2019-07-10T11:31:50.000,25.9605
2019-07-10T11:33:50.000,25.9815
2019-07-10T11:35:50.000,25.9829
2019-07-10T11:37:50.000,26.0292
2019-07-10T11:39:50.000,26.0768
2019-07-10T11:41:50.000,26.1217
2019-07-10T11:43:50.000,26.1581
2019-07-10T11:45:50.000,26.1932
2019-07-10T11:47:50.000,26.2086
2019-07-10T11:49:50.000,26.2114
2019-07-10T11:51:50.000,26.2339
2019-07-10T11:53:50.000,26.2521
2019-07-10T11:55:50.000,26.2886
2019-07-10T11:57:50.000,26.2745
2019-07-10T11:59:50.000,26.2605
2019-07-10T12:01:50.000,26.2633
2019-07-10T12:03:50.000,26.2731
2019-07-10T12:05:50.000,26.2900
2019-07-10T12:07:50.000,26.3124
2019-07-10T12:09:50.000,26.3490
2019-07-10T12:11:50.000,26.3953
2019-07-10T12:13:50.000,26.4304
2019-07-10T12:15:50.000,26.4599
2019-07-10T12:17:50.000,26.4782
2019-07-10T12:19:50.000,26.4810
2019-07-10T12:21:50.000,26.4866
2019-07-10T12:23:50.000,26.5035
2019-07-10T12:25:50.000,26.5274
2019-07-10T12:27:50.000,26.5738
2019-07-10T12:29:50.000,26.6076
