ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
time,speed,bearing,velocityN,velocityE
2019-06-04T13:35:42.000,81.73,243.40,-36.60,-73.08
2019-06-04T13:37:42.000,94.28,196.49,-90.40,-26.76
2019-06-04T13:39:42.000,95.20,195.02,-91.95,-24.67
2019-06-04T13:41:42.000,96.49,193.48,-93.84,-22.49
2019-06-04T13:43:42.000,93.54,115.81,-40.73,84.21
2019-06-04T13:45:42.000,91.88,127.41,-55.81,72.99
2019-06-04T13:47:42.000,1.52,122.95,-0.83,1.28
2019-06-04T13:49:42.000,2.69,313.82,1.86,-1.94
2019-06-04T13:51:42.000,4.40,21.01,4.11,1.58
2019-06-04T13:53:42.000,3.31,59.59,1.68,2.86
2019-06-04T13:55:42.000,0.83,52.06,0.51,0.66
2019-06-04T13:57:42.000,1.38,78.32,0.28,1.35
2019-06-04T13:59:42.000,0.83,75.32,0.21,0.81
2019-06-04T14:01:42.000,3.24,99.25,-0.52,3.19
2019-06-04T14:03:42.000,1.10,86.62,0.06,1.10
2019-06-04T14:05:42.000,0.97,96.13,-0.10,0.96
2019-06-04T14:07:42.000,1.30,60.72,0.64,1.14
2019-06-04T14:09:42.000,0.97,323.33,0.77,-0.58
2019-06-04T14:11:42.000,0.97,93.40,-0.06,0.96
2019-06-04T14:13:42.000,0.70,62.78,0.32,0.62
2019-06-04T14:15:42.000,1.45,24.70,1.32,0.61
2019-06-04T14:17:42.000,1.38,64.94,0.58,1.25
2019-06-04T14:19:42.000,2.69,58.36,1.41,2.29
2019-06-04T14:21:42.000,0.83,68.34,0.31,0.78
2019-06-04T14:23:42.000,1.03,100.13,-0.18,1.02
2019-06-04T14:25:42.000,1.23,39.59,0.95,0.78
2019-06-04T14:27:42.000,1.23,40.00,0.94,0.79
2019-06-04T14:29:42.000,1.03,30.83,0.89,0.53
2019-06-04T14:31:42.000,0.64,122.87,-0.35,0.53
2019-06-04T14:33:42.000,1.10,51.30,0.69,0.86
2019-06-04T14:35:42.000,1.67,45.10,1.18,1.18
2019-06-04T14:37:42.000,1.10,316.35,0.79,-0.76
2019-06-04T14:39:42.000,1.30,93.41,-0.08,1.30
2019-06-04T14:41:42.000,0.83,66.21,0.34,0.76
2019-06-04T14:43:42.000,4.71,20.49,4.41,1.65
2019-06-04T14:45:42.000,1.89,339.10,1.76,-0.67
2019-06-04T14:47:42.000,1.38,58.10,0.73,1.17
2019-06-04T14:49:42.000,2.33,90.62,-0.03,2.32
2019-06-04T14:51:42.000,1.10,112.33,-0.42,1.02
2019-06-04T14:53:42.000,1.89,8.50,1.87,0.28
2019-06-04T14:55:42.000,1.74,300.34,0.88,-1.50
2019-06-04T14:57:42.000,4.40,322.52,3.50,-2.68
2019-06-04T14:59:42.000,2.40,27.14,2.13,1.09
2019-06-04T15:01:42.000,2.18,96.24,-0.24,2.17
2019-06-04T15:03:42.000,1.16,78.04,0.24,1.14
2019-06-04T15:05:42.000,2.92,337.64,2.70,-1.11
2019-06-04T15:07:42.000,0.70,3.66,0.70,0.04
2019-06-04T15:09:42.000,0.90,100.98,-0.17,0.88
2019-06-04T15:11:42.000,1.23,72.53,0.37,1.17
2019-06-04T15:13:42.000,1.67,7.74,1.65,0.22
2019-06-04T15:15:42.000,2.18,40.51,1.66,1.42
2019-06-04T15:17:42.000,3.16,50.04,2.03,2.42
2019-06-04T15:19:42.000,1.60,48.81,1.05,1.20
