ISO 8601 Time,Temperature (C)
time,temp
2019-06-04T13:35:42.000,21.4777
2019-06-04T13:37:42.000,21.5957
2019-06-04T13:39:42.000,22.1696
2019-06-04T13:41:42.000,23.6107
2019-06-04T13:43:42.000,23.4587
2019-06-04T13:45:42.000,23.4753
2019-06-04T13:47:42.000,22.6426
2019-06-04T13:49:42.000,21.4229
2019-06-04T13:51:42.000,20.6022
2019-06-04T13:53:42.000,20.0918
2019-06-04T13:55:42.000,19.7991
2019-06-04T13:57:42.000,19.6322
2019-06-04T13:59:42.000,19.5338
2019-06-04T14:01:42.000,19.4968
2019-06-04T14:03:42.000,19.4859
2019-06-04T14:05:42.000,19.4818
2019-06-04T14:07:42.000,19.4900
2019-06-04T14:09:42.000,19.4968
2019-06-04T14:11:42.000,19.5119
2019-06-04T14:13:42.000,19.5215
2019-06-04T14:15:42.000,19.5447
2019-06-04T14:17:42.000,19.5666
2019-06-04T14:19:42.000,19.5926
2019-06-04T14:21:42.000,19.6199
2019-06-04T14:23:42.000,19.6568
2019-06-04T14:25:42.000,19.6897
2019-06-04T14:27:42.000,19.7102
2019-06-04T14:29:42.000,19.7334
2019-06-04T14:31:42.000,19.7580
2019-06-04T14:33:42.000,19.7854
2019-06-04T14:35:42.000,19.7963
2019-06-04T14:37:42.000,19.8100
2019-06-04T14:39:42.000,19.8319
2019-06-04T14:41:42.000,19.8538
2019-06-04T14:43:42.000,19.8770
2019-06-04T14:45:42.000,19.8975
2019-06-04T14:47:42.000,19.9222
2019-06-04T14:49:42.000,19.9536
2019-06-04T14:51:42.000,19.9810
2019-06-04T14:53:42.000,20.0029
2019-06-04T14:55:42.000,20.0302
2019-06-04T14:57:42.000,20.0466
2019-06-04T14:59:42.000,20.0685
2019-06-04T15:01:42.000,20.0877
2019-06-04T15:03:42.000,20.1096
2019-06-04T15:05:42.000,20.1383
2019-06-04T15:07:42.000,20.1547
2019-06-04T15:09:42.000,20.1794
2019-06-04T15:11:42.000,20.2012
2019-06-04T15:13:42.000,20.2122
2019-06-04T15:15:42.000,20.2231
2019-06-04T15:17:42.000,20.2300
2019-06-04T15:19:42.000,20.2341
2019-06-04T15:21:42.000,20.2450
2019-06-04T15:23:42.000,20.2546
2019-06-04T15:25:42.000,20.2738
2019-06-04T15:27:42.000,20.2888
2019-06-04T15:29:42.000,20.3080
2019-06-04T15:31:42.000,20.3285
2019-06-04T15:33:42.000,20.3463
2019-06-04T15:35:42.000,20.3559
2019-06-04T15:37:42.000,20.3668
2019-06-04T15:39:42.000,20.3696
2019-06-04T15:41:42.000,20.3887
2019-06-04T15:43:42.000,20.4202
2019-06-04T15:45:42.000,20.4421
2019-06-04T15:47:42.000,20.4571
2019-06-04T15:49:42.000,20.4859
2019-06-04T15:51:42.000,20.4996
2019-06-04T15:53:42.000,20.5283
2019-06-04T15:55:42.000,20.5461
2019-06-04T15:57:42.000,20.5666
2019-06-04T15:59:42.000,20.5817
2019-06-04T16:01:42.000,20.5927
2019-06-04T16:03:42.000,20.6036
2019-06-04T16:05:42.000,20.6310
2019-06-04T16:07:42.000,20.6474
2019-06-04T16:09:42.000,20.6625
2019-06-04T16:11:42.000,20.6803
2019-06-04T16:13:42.000,20.6885
2019-06-04T16:15:42.000,20.6926
2019-06-04T16:17:42.000,20.6953
2019-06-04T16:19:42.000,20.7022
2019-06-04T16:21:42.000,20.7090
2019-06-04T16:23:42.000,20.7131
2019-06-04T16:25:42.000,20.7077
2019-06-04T16:27:42.000,20.7145
2019-06-04T16:29:42.000,20.7296
2019-06-04T16:31:42.000,20.7309
2019-06-04T16:33:42.000,20.7268
2019-06-04T16:35:42.000,20.7214
2019-06-04T16:37:42.000,20.6994
2019-06-04T16:39:42.000,20.6789
2019-06-04T16:41:42.000,20.6625
2019-06-04T16:43:42.000,20.6543
2019-06-04T16:45:42.000,20.6529
2019-06-04T16:47:42.000,20.6556
2019-06-04T16:49:42.000,20.6515
2019-06-04T16:51:42.000,20.6447
2019-06-04T16:53:42.000,20.6419
2019-06-04T16:55:42.000,20.6419
2019-06-04T16:57:42.000,20.6584
2019-06-04T16:59:42.000,20.6707
2019-06-04T17:01:42.000,20.6830
2019-06-04T17:03:42.000,20.6926
2019-06-04T17:05:42.000,20.6721
2019-06-04T17:07:42.000,20.6597
2019-06-04T17:09:42.000,20.6529
2019-06-04T17:11:42.000,20.6570
2019-06-04T17:13:42.000,20.6652
2019-06-04T17:15:42.000,20.6775
2019-06-04T17:17:42.000,20.6940
2019-06-04T17:19:42.000,20.7104
2019-06-04T17:21:42.000,20.7282
2019-06-04T17:23:42.000,20.7337
2019-06-04T17:25:42.000,20.7337
2019-06-04T17:27:42.000,20.7268
2019-06-04T17:29:42.000,20.7214
2019-06-04T17:31:42.000,20.7131
2019-06-04T17:33:42.000,20.6981
2019-06-04T17:35:42.000,20.6816
2019-06-04T17:37:42.000,20.6693
2019-06-04T17:39:42.000,20.6652
2019-06-04T17:41:42.000,20.6597
2019-06-04T17:43:42.000,20.6543
2019-06-04T17:45:42.000,20.6570
2019-06-04T17:47:42.000,20.6611
2019-06-04T17:49:42.000,20.6611
2019-06-04T17:51:42.000,20.6734
2019-06-04T17:53:42.000,20.6789
2019-06-04T17:55:42.000,20.6803
2019-06-04T17:57:42.000,20.6899
2019-06-04T17:59:42.000,20.6871
2019-06-04T18:01:42.000,20.6844
2019-06-04T18:03:42.000,20.6885
2019-06-04T18:05:42.000,20.6871
2019-06-04T18:07:42.000,20.6994
2019-06-04T18:09:42.000,20.7063
2019-06-04T18:11:42.000,20.7008
2019-06-04T18:13:42.000,20.6885
2019-06-04T18:15:42.000,20.6858
2019-06-04T18:17:42.000,20.6830
2019-06-04T18:19:42.000,20.6789
2019-06-04T18:21:42.000,20.6816
2019-06-04T18:23:42.000,20.6748
2019-06-04T18:25:42.000,20.6652
2019-06-04T18:27:42.000,20.6529
2019-06-04T18:29:42.000,20.6406
2019-06-04T18:31:42.000,20.6283
2019-06-04T18:33:42.000,20.6228
2019-06-04T18:35:42.000,20.6310
2019-06-04T18:37:42.000,20.6378
2019-06-04T18:39:42.000,20.6406
2019-06-04T18:41:42.000,20.6283
2019-06-04T18:43:42.000,20.6146
2019-06-04T18:45:42.000,20.6105
2019-06-04T18:47:42.000,20.6063
2019-06-04T18:49:42.000,20.5872
2019-06-04T18:51:42.000,20.5708
2019-06-04T18:53:42.000,20.5530
2019-06-04T18:55:42.000,20.5352
2019-06-04T18:57:42.000,20.5160
2019-06-04T18:59:42.000,20.4941
2019-06-04T19:01:42.000,20.4722
2019-06-04T19:03:42.000,20.4489
2019-06-04T19:05:42.000,20.4339
2019-06-04T19:07:42.000,20.4092
2019-06-04T19:09:42.000,20.3819
2019-06-04T19:11:42.000,20.3600
2019-06-04T19:13:42.000,20.3449
2019-06-04T19:15:42.000,20.3271
2019-06-04T19:17:42.000,20.3203
2019-06-04T19:19:42.000,20.3107
2019-06-04T19:21:42.000,20.2902
2019-06-04T19:23:42.000,20.2724
2019-06-04T19:25:42.000,20.2450
2019-06-04T19:27:42.000,20.2163
2019-06-04T19:29:42.000,20.1971
2019-06-04T19:31:42.000,20.1807
2019-06-04T19:33:42.000,20.1561
2019-06-04T19:35:42.000,20.1328
2019-06-04T19:37:42.000,20.1109
2019-06-04T19:39:42.000,20.0891
2019-06-04T19:41:42.000,20.0699
2019-06-04T19:43:42.000,20.0425
2019-06-04T19:45:42.000,20.0111
2019-06-04T19:47:42.000,19.9755
2019-06-04T19:49:42.000,19.9290
2019-06-04T19:51:42.000,19.8716
2019-06-04T19:53:42.000,19.8127
2019-06-04T19:55:42.000,19.7649
2019-06-04T19:57:42.000,19.7266
2019-06-04T19:59:42.000,19.6678
2019-06-04T20:01:42.000,19.5939
2019-06-04T20:03:42.000,19.5242
2019-06-04T20:05:42.000,19.4572
2019-06-04T20:07:42.000,19.4107
2019-06-04T20:09:42.000,19.4039
2019-06-04T20:11:42.000,19.4312
2019-06-04T20:13:42.000,19.4586
2019-06-04T20:15:42.000,19.4545
2019-06-04T20:17:42.000,19.4039
2019-06-04T20:19:42.000,19.3437
2019-06-04T20:21:42.000,19.3191
2019-06-04T20:23:42.000,19.2931
2019-06-04T20:25:42.000,19.2712
2019-06-04T20:27:42.000,19.2630
2019-06-04T20:29:42.000,19.2603
2019-06-04T20:31:42.000,19.2357
2019-06-04T20:33:42.000,19.2261
2019-06-04T20:35:42.000,19.2398
2019-06-04T20:37:42.000,19.2425
2019-06-04T20:39:42.000,19.2370
2019-06-04T20:41:42.000,19.2138
2019-06-04T20:43:42.000,19.1824
2019-06-04T20:45:42.000,19.1728
2019-06-04T20:47:42.000,19.1796
2019-06-04T20:49:42.000,19.2015
2019-06-04T20:51:42.000,19.2111
2019-06-04T20:53:42.000,19.2165
2019-06-04T20:55:42.000,19.1851
2019-06-04T20:57:42.000,19.1728
2019-06-04T20:59:42.000,19.1810
2019-06-04T21:01:42.000,19.1728
2019-06-04T21:03:42.000,19.1577
2019-06-04T21:05:42.000,19.1331
2019-06-04T21:07:42.000,19.0921
2019-06-04T21:09:42.000,19.0347
2019-06-04T21:11:42.000,18.9773
2019-06-04T21:13:42.000,18.9239
2019-06-04T21:15:42.000,18.8925
2019-06-04T21:17:42.000,18.8542
2019-06-04T21:19:42.000,18.8145
2019-06-04T21:21:42.000,18.7886
2019-06-04T21:23:42.000,18.7653
2019-06-04T21:25:42.000,18.7585
2019-06-04T21:27:42.000,18.7585
2019-06-04T21:29:42.000,18.7544
2019-06-04T21:31:42.000,18.7434
2019-06-04T21:33:42.000,18.7229
2019-06-04T21:35:42.000,18.6970
2019-06-04T21:37:42.000,18.6614
2019-06-04T21:39:42.000,18.6313
2019-06-04T21:41:42.000,18.5944
2019-06-04T21:43:42.000,18.5370
2019-06-04T21:45:42.000,18.3770
2019-06-04T21:47:42.000,18.1773
2019-06-04T21:49:42.000,17.9953
2019-06-04T21:51:42.000,17.8312
2019-06-04T21:53:42.000,17.6916
2019-06-04T21:55:42.000,17.5602
2019-06-04T21:57:42.000,17.4616
2019-06-04T21:59:42.000,17.3671
2019-06-04T22:01:42.000,17.2863
2019-06-04T22:03:42.000,17.2096
2019-06-04T22:05:42.000,17.1384
2019-06-04T22:07:42.000,17.0672
2019-06-04T22:09:42.000,17.0000
2019-06-04T22:11:42.000,16.9397
2019-06-04T22:13:42.000,16.8904
2019-06-04T22:15:42.000,16.8493
2019-06-04T22:17:42.000,16.8122
2019-06-04T22:19:42.000,16.7698
2019-06-04T22:21:42.000,16.7204
2019-06-04T22:23:42.000,16.6683
2019-06-04T22:25:42.000,16.6189
2019-06-04T22:27:42.000,16.5627
2019-06-04T22:29:42.000,16.5174
2019-06-04T22:31:42.000,16.4735
2019-06-04T22:33:42.000,16.4337
2019-06-04T22:35:42.000,16.3939
2019-06-04T22:37:42.000,16.3555
2019-06-04T22:39:42.000,16.3184
2019-06-04T22:41:42.000,16.2814
2019-06-04T22:43:42.000,16.2484
2019-06-04T22:45:42.000,16.2182
2019-06-04T22:47:42.000,16.1935
2019-06-04T22:49:42.000,16.1537
2019-06-04T22:51:42.000,16.1029
2019-06-04T22:53:42.000,16.0507
2019-06-04T22:55:42.000,15.9957
2019-06-04T22:57:42.000,15.9613
2019-06-04T22:59:42.000,15.9284
2019-06-04T23:01:42.000,15.9036
2019-06-04T23:03:42.000,15.8761
2019-06-04T23:05:42.000,15.8569
2019-06-04T23:07:42.000,15.8404
2019-06-04T23:09:42.000,15.8253
2019-06-04T23:11:42.000,15.8060
2019-06-04T23:13:42.000,15.7840
2019-06-04T23:15:42.000,15.7730
2019-06-04T23:17:42.000,15.7552
2019-06-04T23:19:42.000,15.7345
2019-06-04T23:21:42.000,15.7043
2019-06-04T23:23:42.000,15.6809
2019-06-04T23:25:42.000,15.6506
2019-06-04T23:27:42.000,15.6190
2019-06-04T23:29:42.000,15.5887
2019-06-04T23:31:42.000,15.5557
2019-06-04T23:33:42.000,15.5268
2019-06-04T23:35:42.000,15.5006
2019-06-04T23:37:42.000,15.4772
2019-06-04T23:39:42.000,15.4580
2019-06-04T23:41:42.000,15.4415
2019-06-04T23:43:42.000,15.4249
2019-06-04T23:45:42.000,15.3933
2019-06-04T23:47:42.000,15.3588
2019-06-04T23:49:42.000,15.3313
2019-06-04T23:51:42.000,15.3065
2019-06-04T23:53:42.000,15.2845
2019-06-04T23:55:42.000,15.2734
2019-06-04T23:57:42.000,15.2666
2019-06-04T23:59:42.000,15.2569
2019-06-05T00:01:42.000,15.2486
2019-06-05T00:03:42.000,15.2431
2019-06-05T00:05:42.000,15.2362
2019-06-05T00:07:42.000,15.2362
2019-06-05T00:09:42.000,15.2294
2019-06-05T00:11:42.000,15.2225
2019-06-05T00:13:42.000,15.2170
2019-06-05T00:15:42.000,15.2128
2019-06-05T00:17:42.000,15.2156
2019-06-05T00:19:42.000,15.2225
2019-06-05T00:21:42.000,15.2225
2019-06-05T00:23:42.000,15.2335
2019-06-05T00:25:42.000,15.2362
2019-06-05T00:27:42.000,15.2211
2019-06-05T00:29:42.000,15.1949
2019-06-05T00:31:42.000,15.1701
2019-06-05T00:33:42.000,15.1425
2019-06-05T00:35:42.000,15.1232
2019-06-05T00:37:42.000,15.1067
2019-06-05T00:39:42.000,15.0888
2019-06-05T00:41:42.000,15.0791
2019-06-05T00:43:42.000,15.0681
2019-06-05T00:45:42.000,15.0571
2019-06-05T00:47:42.000,15.0391
2019-06-05T00:49:42.000,15.0198
2019-06-05T00:51:42.000,15.0088
2019-06-05T00:53:42.000,14.9895
2019-06-05T00:55:42.000,14.9854
2019-06-05T00:57:42.000,14.9812
2019-06-05T00:59:42.000,14.9854
2019-06-05T01:01:42.000,14.9923
2019-06-05T01:03:42.000,15.0171
2019-06-05T01:05:42.000,15.0254
2019-06-05T01:07:42.000,15.0378
2019-06-05T01:09:42.000,15.0516
2019-06-05T01:11:42.000,15.0791
