ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
time,speed,bearing,velocityN,velocityE
2019-07-10T08:57:50.000,46.40,248.09,-17.31,-43.05
2019-07-10T08:59:50.000,87.82,164.72,-84.72,23.14
2019-07-10T09:01:50.000,89.11,157.58,-82.38,33.98
2019-07-10T09:03:50.000,92.25,139.10,-69.73,60.40
2019-07-10T09:05:50.000,95.39,148.09,-80.97,50.42
2019-07-10T09:07:50.000,99.08,150.09,-85.88,49.40
2019-07-10T09:09:50.000,97.05,144.27,-78.78,56.67
2019-07-10T09:11:50.000,95.02,145.59,-78.39,53.70
2019-07-10T09:13:50.000,93.54,148.25,-79.55,49.22
2019-07-10T09:15:50.000,93.73,145.64,-77.38,52.89
2019-07-10T09:17:50.000,94.47,147.75,-79.89,50.40
2019-07-10T09:19:50.000,92.80,143.69,-74.79,54.95
2019-07-10T09:21:50.000,93.73,144.74,-76.53,54.11
2019-07-10T09:23:50.000,93.36,155.12,-84.69,39.28
2019-07-10T09:25:50.000,91.33,158.04,-84.70,34.16
2019-07-10T09:27:50.000,95.57,146.99,-80.15,52.06
2019-07-10T09:29:50.000,95.94,125.67,-55.94,77.94
2019-07-10T09:31:50.000,88.19,126.42,-52.36,70.97
2019-07-10T09:33:50.000,90.96,147.67,-76.86,48.65
2019-07-10T09:35:50.000,91.14,163.82,-87.53,25.40
2019-07-10T09:37:50.000,93.73,196.55,-89.84,-26.70
2019-07-10T09:39:50.000,92.07,197.51,-87.80,-27.70
2019-07-10T09:41:50.000,94.65,137.86,-70.19,63.50
2019-07-10T09:43:50.000,91.51,190.32,-90.03,-16.39
2019-07-10T09:45:50.000,95.02,199.01,-89.84,-30.95
2019-07-10T09:47:50.000,95.57,199.89,-89.87,-32.52
2019-07-10T09:49:50.000,13.10,55.39,7.44,10.78
2019-07-10T09:51:50.000,38.76,232.53,-23.58,-30.77
2019-07-10T09:53:50.000,1.96,146.42,-1.63,1.08
2019-07-10T09:55:50.000,0.57,140.05,-0.44,0.37
2019-07-10T09:57:50.000,0.64,140.10,-0.49,0.41
2019-07-10T09:59:50.000,0.70,132.10,-0.47,0.52
2019-07-10T10:01:50.000,0.64,132.29,-0.43,0.47
2019-07-10T10:03:50.000,0.64,126.97,-0.38,0.51
2019-07-10T10:05:50.000,0.70,126.55,-0.42,0.56
2019-07-10T10:07:50.000,0.64,129.16,-0.40,0.49
2019-07-10T10:09:50.000,0.70,123.73,-0.39,0.58
2019-07-10T10:11:50.000,0.64,128.44,-0.40,0.50
2019-07-10T10:13:50.000,0.70,122.76,-0.38,0.59
2019-07-10T10:15:50.000,0.70,124.40,-0.40,0.58
2019-07-10T10:17:50.000,0.70,125.06,-0.40,0.57
2019-07-10T10:19:50.000,0.70,126.00,-0.41,0.57
2019-07-10T10:21:50.000,0.70,122.12,-0.37,0.59
2019-07-10T10:23:50.000,0.70,124.63,-0.40,0.58
2019-07-10T10:25:50.000,0.70,124.64,-0.40,0.58
2019-07-10T10:27:50.000,0.77,123.26,-0.42,0.64
2019-07-10T10:29:50.000,0.64,127.15,-0.38,0.51
2019-07-10T10:31:50.000,0.64,127.16,-0.38,0.51
2019-07-10T10:33:50.000,0.64,126.07,-0.37,0.51
2019-07-10T10:35:50.000,0.64,123.55,-0.35,0.53
2019-07-10T10:37:50.000,0.64,127.51,-0.39,0.50
2019-07-10T10:39:50.000,0.64,122.70,-0.34,0.54
2019-07-10T10:41:50.000,0.64,123.88,-0.35,0.53
2019-07-10T10:43:50.000,0.70,121.05,-0.36,0.60
2019-07-10T10:45:50.000,0.64,124.79,-0.36,0.52
2019-07-10T10:47:50.000,0.64,123.38,-0.35,0.53
2019-07-10T10:49:50.000,0.64,124.21,-0.36,0.53
2019-07-10T10:51:50.000,0.64,122.15,-0.34,0.54
2019-07-10T10:53:50.000,0.70,118.38,-0.33,0.62
2019-07-10T10:55:50.000,0.70,120.30,-0.35,0.61
2019-07-10T10:57:50.000,0.64,118.05,-0.30,0.56
2019-07-10T10:59:50.000,1.23,116.24,-0.54,1.10
2019-07-10T11:01:50.000,0.57,115.47,-0.25,0.51
2019-07-10T11:03:50.000,0.51,109.87,-0.17,0.48
2019-07-10T11:05:50.000,0.64,108.85,-0.21,0.60
2019-07-10T11:07:50.000,0.64,105.74,-0.17,0.61
2019-07-10T11:09:50.000,0.57,110.10,-0.20,0.54
2019-07-10T11:11:50.000,0.57,109.60,-0.19,0.54
2019-07-10T11:13:50.000,0.57,112.48,-0.22,0.53
2019-07-10T11:15:50.000,0.57,115.22,-0.24,0.52
2019-07-10T11:17:50.000,0.57,105.97,-0.16,0.55
2019-07-10T11:19:50.000,0.51,116.63,-0.23,0.46
2019-07-10T11:21:50.000,0.57,112.02,-0.21,0.53
2019-07-10T11:23:50.000,0.51,107.14,-0.15,0.49
2019-07-10T11:25:50.000,0.57,110.66,-0.20,0.53
2019-07-10T11:27:50.000,0.51,114.41,-0.21,0.47
2019-07-10T11:29:50.000,0.57,112.15,-0.21,0.53
2019-07-10T11:31:50.000,0.64,112.07,-0.24,0.59
2019-07-10T11:33:50.000,0.57,110.51,-0.20,0.53
2019-07-10T11:35:50.000,0.57,109.42,-0.19,0.54
2019-07-10T11:37:50.000,0.51,113.42,-0.20,0.47
2019-07-10T11:39:50.000,0.57,111.55,-0.21,0.53
2019-07-10T11:41:50.000,0.51,119.16,-0.25,0.45
2019-07-10T11:43:50.000,0.57,110.49,-0.20,0.53
2019-07-10T11:45:50.000,0.51,116.49,-0.23,0.46
2019-07-10T11:47:50.000,0.51,117.05,-0.23,0.46
2019-07-10T11:49:50.000,0.57,114.15,-0.23,0.52
2019-07-10T11:51:50.000,0.51,122.18,-0.27,0.43
2019-07-10T11:53:50.000,0.57,120.57,-0.29,0.49
2019-07-10T11:55:50.000,0.64,114.19,-0.26,0.58
2019-07-10T11:57:50.000,0.51,113.14,-0.20,0.47
2019-07-10T11:59:50.000,0.57,112.16,-0.22,0.53
2019-07-10T12:01:50.000,0.83,94.43,-0.06,0.83
2019-07-10T12:03:50.000,0.51,115.82,-0.22,0.46
2019-07-10T12:05:50.000,0.51,125.82,-0.30,0.42
2019-07-10T12:07:50.000,0.51,122.36,-0.27,0.43
2019-07-10T12:09:50.000,0.46,124.74,-0.26,0.37
2019-07-10T12:11:50.000,0.51,116.88,-0.23,0.46
2019-07-10T12:13:50.000,0.57,117.52,-0.26,0.51
2019-07-10T12:15:50.000,0.46,129.11,-0.29,0.35
2019-07-10T12:17:50.000,0.57,117.68,-0.26,0.50
2019-07-10T12:19:50.000,0.46,130.43,-0.30,0.35
2019-07-10T12:21:50.000,0.51,134.99,-0.36,0.36
2019-07-10T12:23:50.000,0.40,132.83,-0.27,0.29
2019-07-10T12:25:50.000,0.46,125.65,-0.27,0.37
2019-07-10T12:27:50.000,0.64,130.49,-0.41,0.48
2019-07-10T12:29:50.000,0.51,126.10,-0.30,0.41
2019-07-10T12:31:50.000,0.46,136.62,-0.33,0.31
2019-07-10T12:33:50.000,0.51,126.51,-0.31,0.41
2019-07-10T12:35:50.000,0.46,119.86,-0.23,0.40
2019-07-10T12:37:50.000,0.51,151.25,-0.45,0.25
2019-07-10T12:39:50.000,0.51,138.35,-0.38,0.34
2019-07-10T12:41:50.000,0.51,146.92,-0.43,0.28
2019-07-10T12:43:50.000,0.46,144.81,-0.37,0.26
2019-07-10T12:45:50.000,0.46,128.44,-0.28,0.36
2019-07-10T12:47:50.000,0.46,133.18,-0.31,0.33
2019-07-10T12:49:50.000,0.51,155.85,-0.47,0.21
2019-07-10T12:51:50.000,0.51,137.83,-0.38,0.34
2019-07-10T12:53:50.000,0.51,149.26,-0.44,0.26
2019-07-10T12:55:50.000,0.40,144.39,-0.32,0.23
2019-07-10T12:57:50.000,0.57,151.29,-0.50,0.27
2019-07-10T12:59:50.000,0.51,163.57,-0.49,0.15
2019-07-10T13:01:50.000,0.34,142.33,-0.27,0.21
2019-07-10T13:03:50.000,0.57,133.85,-0.39,0.41
2019-07-10T13:05:50.000,0.83,133.02,-0.57,0.61
2019-07-10T13:07:50.000,0.51,151.42,-0.45,0.25
2019-07-10T13:09:50.000,0.51,155.35,-0.47,0.21
2019-07-10T13:11:50.000,1.38,158.18,-1.28,0.51
2019-07-10T13:13:50.000,0.83,137.89,-0.62,0.56
2019-07-10T13:15:50.000,0.51,166.75,-0.50,0.12
2019-07-10T13:17:50.000,0.40,148.03,-0.34,0.21
2019-07-10T13:19:50.000,0.34,154.90,-0.31,0.15
2019-07-10T13:21:50.000,0.34,143.85,-0.28,0.20
2019-07-10T13:23:50.000,0.34,142.36,-0.27,0.21
2019-07-10T13:25:50.000,0.34,152.78,-0.30,0.16
2019-07-10T13:27:50.000,0.34,142.71,-0.27,0.21
2019-07-10T13:29:50.000,0.34,146.89,-0.29,0.19
2019-07-10T13:31:50.000,0.40,159.02,-0.37,0.14
2019-07-10T13:33:50.000,0.46,148.11,-0.39,0.24
2019-07-10T13:35:50.000,0.40,152.29,-0.35,0.19
2019-07-10T13:37:50.000,0.28,148.07,-0.24,0.15
2019-07-10T13:39:50.000,0.34,149.13,-0.29,0.18
2019-07-10T13:41:50.000,0.34,159.43,-0.32,0.12
2019-07-10T13:43:50.000,0.34,149.99,-0.30,0.17
2019-07-10T13:45:50.000,0.28,175.57,-0.28,0.02
2019-07-10T13:47:50.000,0.40,161.47,-0.38,0.13
2019-07-10T13:49:50.000,0.40,185.98,-0.40,-0.04
2019-07-10T13:51:50.000,0.46,190.52,-0.45,-0.08
2019-07-10T13:53:50.000,0.34,175.07,-0.34,0.03
2019-07-10T13:55:50.000,0.40,174.92,-0.40,0.04
2019-07-10T13:57:50.000,0.28,161.20,-0.27,0.09
2019-07-10T13:59:50.000,0.34,181.99,-0.34,-0.01
2019-07-10T14:01:50.000,0.34,154.40,-0.31,0.15
2019-07-10T14:03:50.000,0.34,154.88,-0.31,0.15
2019-07-10T14:05:50.000,0.40,182.71,-0.40,-0.02
2019-07-10T14:07:50.000,1.38,173.28,-1.37,0.16
2019-07-10T14:09:50.000,0.70,169.43,-0.69,0.13
2019-07-10T14:11:50.000,0.34,183.48,-0.34,-0.02
2019-07-10T14:13:50.000,0.57,164.14,-0.55,0.16
2019-07-10T14:15:50.000,0.40,160.93,-0.38,0.13
2019-07-10T14:17:50.000,0.23,181.78,-0.23,-0.01
2019-07-10T14:19:50.000,0.40,182.07,-0.40,-0.01
2019-07-10T14:21:50.000,0.34,170.75,-0.34,0.05
2019-07-10T14:23:50.000,0.46,179.27,-0.46,0.01
2019-07-10T14:25:50.000,0.34,168.27,-0.33,0.07
2019-07-10T14:27:50.000,0.34,150.30,-0.30,0.17
2019-07-10T14:29:50.000,0.57,187.32,-0.57,-0.07
2019-07-10T14:31:50.000,0.34,155.00,-0.31,0.14
2019-07-10T14:33:50.000,0.34,152.86,-0.30,0.16
2019-07-10T14:35:50.000,6.16,255.98,-1.49,-5.97
2019-07-10T14:37:50.000,0.40,205.69,-0.36,-0.17
2019-07-10T14:39:50.000,0.57,185.48,-0.57,-0.05
2019-07-10T14:41:50.000,0.23,185.02,-0.23,-0.02
2019-07-10T14:43:50.000,0.28,196.16,-0.27,-0.08
2019-07-10T14:45:50.000,0.34,180.18,-0.34,-0.00
2019-07-10T14:47:50.000,0.34,182.34,-0.34,-0.01
2019-07-10T14:49:50.000,0.34,195.30,-0.33,-0.09
2019-07-10T14:51:50.000,0.28,185.92,-0.28,-0.03
2019-07-10T14:53:50.000,0.40,196.81,-0.38,-0.12
2019-07-10T14:55:50.000,0.28,175.88,-0.28,0.02
2019-07-10T14:57:50.000,0.28,175.83,-0.28,0.02
2019-07-10T14:59:50.000,0.23,191.69,-0.22,-0.05
