ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
time,speed,bearing,velocityN,velocityE
2019-04-17T12:09:34.000,7.03,164.23,-6.77,1.91
2019-04-17T12:11:34.000,89.30,117.26,-40.91,79.38
2019-04-17T12:13:34.000,91.33,167.57,-89.19,19.65
2019-04-17T12:15:34.000,90.78,165.85,-88.02,22.19
2019-04-17T12:17:34.000,79.53,211.41,-67.88,-41.44
2019-04-17T12:19:34.000,21.09,6.04,20.97,2.22
2019-04-17T12:21:34.000,20.13,7.89,19.94,2.76
2019-04-17T12:23:34.000,20.43,8.96,20.18,3.18
2019-04-17T12:25:34.000,19.72,30.03,17.07,9.87
2019-04-17T12:27:34.000,21.47,108.03,-6.64,20.41
2019-04-17T12:29:34.000,20.19,50.62,12.81,15.61
2019-04-17T12:31:34.000,21.33,41.09,16.08,14.02
2019-04-17T12:33:34.000,21.33,22.24,19.74,8.07
2019-04-17T12:35:34.000,20.73,113.36,-8.22,19.03
2019-04-17T12:37:34.000,20.73,82.90,2.56,20.57
2019-04-17T12:39:34.000,21.09,50.14,13.52,16.19
2019-04-17T12:41:34.000,20.37,20.40,19.10,7.10
2019-04-17T12:43:34.000,21.15,78.16,4.34,20.70
2019-04-17T12:45:34.000,22.08,33.58,18.40,12.22
2019-04-17T12:47:34.000,20.79,22.18,19.25,7.85
2019-04-17T12:49:34.000,20.37,73.52,5.78,19.54
2019-04-17T12:51:34.000,20.55,20.05,19.31,7.05
2019-04-17T12:53:34.000,21.03,117.82,-9.82,18.60
2019-04-17T12:55:34.000,21.09,86.52,1.28,21.05
2019-04-17T12:57:34.000,21.09,37.70,16.69,12.90
2019-04-17T12:59:34.000,20.49,83.83,2.20,20.37
2019-04-17T13:01:34.000,21.33,76.95,4.81,20.78
2019-04-17T13:03:34.000,20.55,23.76,18.81,8.28
2019-04-17T13:05:34.000,18.20,124.35,-10.27,15.02
2019-04-17T13:07:34.000,19.06,112.68,-7.35,17.59
2019-04-17T13:09:34.000,19.24,200.15,-18.06,-6.63
2019-04-17T13:11:34.000,19.90,108.82,-6.42,18.83
2019-04-17T13:13:34.000,20.61,85.18,1.73,20.54
2019-04-17T13:15:34.000,21.09,185.53,-20.99,-2.03
2019-04-17T13:17:34.000,21.33,102.30,-4.55,20.84
2019-04-17T13:19:34.000,22.22,59.28,11.35,19.10
2019-04-17T13:21:34.000,21.67,190.03,-21.34,-3.77
2019-04-17T13:23:34.000,21.09,87.19,1.03,21.07
2019-04-17T13:25:34.000,22.49,34.42,18.56,12.72
2019-04-17T13:27:34.000,22.49,173.19,-22.34,2.67
2019-04-17T13:29:34.000,22.49,99.94,-3.88,22.16
2019-04-17T13:31:34.000,22.36,190.26,-22.00,-3.98
2019-04-17T13:33:34.000,20.91,158.29,-19.43,7.73
2019-04-17T13:35:34.000,22.36,89.05,0.37,22.35
2019-04-17T13:37:34.000,20.91,198.04,-19.88,-6.48
2019-04-17T13:39:34.000,21.81,180.92,-21.81,-0.35
2019-04-17T13:41:34.000,21.33,86.88,1.16,21.30
2019-04-17T13:43:34.000,21.21,202.67,-19.57,-8.17
2019-04-17T13:45:34.000,21.60,172.70,-21.43,2.74
2019-04-17T13:47:34.000,22.63,101.49,-4.51,22.18
2019-04-17T13:49:34.000,24.00,72.67,7.15,22.91
2019-04-17T13:51:34.000,20.25,25.70,18.25,8.78
2019-04-17T13:53:34.000,23.11,109.65,-7.77,21.76
2019-04-17T13:55:34.000,21.67,86.87,1.18,21.64
