ISO 8601 Time,Speed (cm/s),Bearing (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
time,speed,bearing,velocityN,velocityE
2019-06-04T13:40:28.000,119.10,62.69,54.65,105.82
2019-06-04T13:42:28.000,114.90,168.35,-112.53,23.21
2019-06-04T13:44:28.000,23.77,52.51,14.47,18.86
2019-06-04T13:46:28.000,12.72,68.31,4.70,11.82
2019-06-04T13:48:28.000,20.07,59.45,10.20,17.29
2019-06-04T13:50:28.000,24.41,66.83,9.61,22.45
2019-06-04T13:52:28.000,20.80,65.06,8.77,18.86
2019-06-04T13:54:28.000,22.35,60.22,11.10,19.40
2019-06-04T13:56:28.000,21.38,64.24,9.29,19.26
2019-06-04T13:58:28.000,21.77,52.12,13.37,17.18
2019-06-04T14:00:28.000,22.42,61.70,10.63,19.74
2019-06-04T14:02:28.000,22.03,56.05,12.30,18.27
2019-06-04T14:04:28.000,23.58,63.36,10.57,21.08
2019-06-04T14:06:28.000,19.94,62.18,9.31,17.64
2019-06-04T14:08:28.000,17.39,70.20,5.89,16.37
2019-06-04T14:10:28.000,15.99,56.93,8.73,13.40
2019-06-04T14:12:28.000,18.81,75.18,4.81,18.19
2019-06-04T14:14:28.000,22.16,66.75,8.75,20.36
2019-06-04T14:16:28.000,20.41,72.08,6.28,19.42
2019-06-04T14:18:28.000,18.88,66.07,7.66,17.26
2019-06-04T14:20:28.000,22.61,70.77,7.45,21.35
2019-06-04T14:22:28.000,17.88,65.32,7.47,16.25
2019-06-04T14:24:28.000,21.90,60.98,10.62,19.15
2019-06-04T14:26:28.000,22.29,67.49,8.53,20.59
2019-06-04T14:28:28.000,19.54,66.84,7.68,17.97
2019-06-04T14:30:28.000,18.08,62.65,8.31,16.06
2019-06-04T14:32:28.000,22.03,71.60,6.95,20.90
2019-06-04T14:34:28.000,23.39,84.77,2.13,23.29
2019-06-04T14:36:28.000,22.94,74.24,6.23,22.07
2019-06-04T14:38:28.000,24.67,74.53,6.58,23.78
2019-06-04T14:40:28.000,19.81,76.61,4.59,19.27
2019-06-04T14:42:28.000,23.32,71.32,7.47,22.09
2019-06-04T14:44:28.000,23.90,69.62,8.32,22.40
2019-06-04T14:46:28.000,27.18,60.53,13.37,23.67
2019-06-04T14:48:28.000,18.35,72.67,5.47,17.51
2019-06-04T14:50:28.000,21.06,73.00,6.16,20.14
2019-06-04T14:52:28.000,20.01,71.75,6.27,19.00
2019-06-04T14:54:28.000,24.93,81.10,3.86,24.63
2019-06-04T14:56:28.000,25.96,66.07,10.53,23.73
2019-06-04T14:58:28.000,27.18,67.39,10.45,25.09
2019-06-04T15:00:28.000,23.84,66.78,9.40,21.91
2019-06-04T15:02:28.000,28.09,64.51,12.09,25.35
2019-06-04T15:04:28.000,20.67,65.83,8.46,18.86
2019-06-04T15:06:28.000,18.88,69.17,6.71,17.64
2019-06-04T15:08:28.000,21.25,63.87,9.36,19.08
2019-06-04T15:10:28.000,29.57,75.69,7.31,28.65
2019-06-04T15:12:28.000,29.03,69.27,10.28,27.15
2019-06-04T15:14:28.000,24.54,73.64,6.91,23.55
2019-06-04T15:16:28.000,24.93,76.19,5.95,24.21
2019-06-04T15:18:28.000,29.23,70.44,9.79,27.54
2019-06-04T15:20:28.000,25.76,64.71,11.01,23.29
2019-06-04T15:22:28.000,25.89,79.16,4.87,25.43
2019-06-04T15:24:28.000,22.87,76.92,5.18,22.28
2019-06-04T15:26:28.000,33.22,75.92,8.08,32.22
2019-06-04T15:28:28.000,25.38,77.90,5.32,24.81
2019-06-04T15:30:28.000,23.07,64.82,9.81,20.87
2019-06-04T15:32:28.000,20.93,67.14,8.13,19.28
2019-06-04T15:34:28.000,23.58,75.36,5.96,22.81
2019-06-04T15:36:28.000,25.31,83.79,2.74,25.17
